horodate_locale;puissance_W;couverture;origine
2025-12-05 00:00:00+01:00;836,000;1,000;MESURE
2025-12-05 01:00:00+01:00;846,000;1,000;MESURE
2025-12-05 02:00:00+01:00;846,000;1,000;MESURE
2025-12-05 03:00:00+01:00;843,000;1,000;MESURE
2025-12-05 04:00:00+01:00;845,000;1,000;MESURE
2025-12-05 05:00:00+01:00;838,000;1,000;MESURE
2025-12-05 06:00:00+01:00;853,000;1,000;MESURE
2025-12-05 07:00:00+01:00;846,000;1,000;MESURE
2025-12-05 08:00:00+01:00;7312,000;1,000;MESURE
2025-12-05 09:00:00+01:00;12077,000;1,000;MESURE
2025-12-05 10:00:00+01:00;9666,000;1,000;MESURE
2025-12-05 11:00:00+01:00;8143,000;1,000;MESURE
2025-12-05 12:00:00+01:00;8093,000;1,000;MESURE
2025-12-05 13:00:00+01:00;8052,000;1,000;MESURE
2025-12-05 14:00:00+01:00;8135,000;1,000;MESURE
2025-12-05 15:00:00+01:00;8185,000;1,000;MESURE
2025-12-05 16:00:00+01:00;8202,000;1,000;MESURE
2025-12-05 17:00:00+01:00;8558,000;1,000;MESURE
2025-12-05 18:00:00+01:00;8494,000;1,000;MESURE
2025-12-05 19:00:00+01:00;8460,000;1,000;MESURE
2025-12-05 20:00:00+01:00;8530,000;1,000;MESURE
2025-12-05 21:00:00+01:00;8650,000;1,000;MESURE
2025-12-05 22:00:00+01:00;8553,000;1,000;MESURE
2025-12-05 23:00:00+01:00;8420,000;1,000;MESURE
2025-12-06 00:00:00+01:00;8481,000;1,000;MESURE
2025-12-06 01:00:00+01:00;8659,000;1,000;MESURE
2025-12-06 02:00:00+01:00;8609,000;1,000;MESURE
2025-12-06 03:00:00+01:00;8651,000;1,000;MESURE
2025-12-06 04:00:00+01:00;8455,000;1,000;MESURE
2025-12-06 05:00:00+01:00;8348,000;1,000;MESURE
2025-12-06 06:00:00+01:00;8443,000;1,000;MESURE
2025-12-06 07:00:00+01:00;8435,000;1,000;MESURE
2025-12-06 08:00:00+01:00;8005,000;1,000;MESURE
2025-12-06 09:00:00+01:00;7983,000;1,000;MESURE
2025-12-06 10:00:00+01:00;7973,000;1,000;MESURE
2025-12-06 11:00:00+01:00;7909,000;1,000;MESURE
2025-12-06 12:00:00+01:00;8128,000;1,000;MESURE
2025-12-06 13:00:00+01:00;8196,000;1,000;MESURE
2025-12-06 14:00:00+01:00;8215,000;1,000;MESURE
2025-12-06 15:00:00+01:00;8080,000;1,000;MESURE
2025-12-06 16:00:00+01:00;8054,000;1,000;MESURE
2025-12-06 17:00:00+01:00;8696,000;1,000;MESURE
2025-12-06 18:00:00+01:00;8579,000;1,000;MESURE
2025-12-06 19:00:00+01:00;8621,000;1,000;MESURE
2025-12-06 20:00:00+01:00;8798,000;1,000;MESURE
2025-12-06 21:00:00+01:00;8659,000;1,000;MESURE
2025-12-06 22:00:00+01:00;8530,000;1,000;MESURE
2025-12-06 23:00:00+01:00;8519,000;1,000;MESURE
2025-12-07 00:00:00+01:00;8623,000;1,000;MESURE
2025-12-07 01:00:00+01:00;8617,000;1,000;MESURE
2025-12-07 02:00:00+01:00;8593,000;1,000;MESURE
2025-12-07 03:00:00+01:00;8493,000;1,000;MESURE
2025-12-07 04:00:00+01:00;8483,000;1,000;MESURE
2025-12-07 05:00:00+01:00;8465,000;1,000;MESURE
2025-12-07 06:00:00+01:00;8392,000;1,000;MESURE
2025-12-07 07:00:00+01:00;8525,000;1,000;MESURE
2025-12-07 08:00:00+01:00;7964,000;1,000;MESURE
2025-12-07 09:00:00+01:00;8109,000;1,000;MESURE
2025-12-07 10:00:00+01:00;8013,000;1,000;MESURE
2025-12-07 11:00:00+01:00;8195,000;1,000;MESURE
2025-12-07 12:00:00+01:00;8350,000;1,000;MESURE
2025-12-07 13:00:00+01:00;8465,000;1,000;MESURE
2025-12-07 14:00:00+01:00;8334,000;1,000;MESURE
2025-12-07 15:00:00+01:00;8282,000;1,000;MESURE
2025-12-07 16:00:00+01:00;8619,000;1,000;MESURE
2025-12-07 17:00:00+01:00;9606,000;1,000;MESURE
2025-12-07 18:00:00+01:00;4622,000;1,000;MESURE
2025-12-07 19:00:00+01:00;915,000;1,000;MESURE
2025-12-07 20:00:00+01:00;866,000;1,000;MESURE
2025-12-07 21:00:00+01:00;854,000;1,000;MESURE
2025-12-07 22:00:00+01:00;853,000;1,000;MESURE
2025-12-07 23:00:00+01:00;835,000;1,000;MESURE
2025-12-08 00:00:00+01:00;837,000;1,000;MESURE
2025-12-08 01:00:00+01:00;834,000;1,000;MESURE
2025-12-08 02:00:00+01:00;833,000;1,000;MESURE
2025-12-08 03:00:00+01:00;835,000;1,000;MESURE
2025-12-08 04:00:00+01:00;829,000;1,000;MESURE
2025-12-08 05:00:00+01:00;849,000;1,000;MESURE
2025-12-08 06:00:00+01:00;850,000;1,000;MESURE
2025-12-08 07:00:00+01:00;846,000;1,000;MESURE
2025-12-08 08:00:00+01:00;542,000;1,000;MESURE
2025-12-08 09:00:00+01:00;455,000;1,000;MESURE
2025-12-08 10:00:00+01:00;453,000;1,000;MESURE
2025-12-08 11:00:00+01:00;455,000;1,000;MESURE
2025-12-08 12:00:00+01:00;460,000;1,000;MESURE
2025-12-08 13:00:00+01:00;454,000;1,000;MESURE
2025-12-08 14:00:00+01:00;454,000;1,000;MESURE
2025-12-08 15:00:00+01:00;454,000;1,000;MESURE
2025-12-08 16:00:00+01:00;395,000;1,000;MESURE
2025-12-08 17:00:00+01:00;843,000;1,000;MESURE
2025-12-08 18:00:00+01:00;845,000;1,000;MESURE
2025-12-08 19:00:00+01:00;839,000;1,000;MESURE
