horodate_locale;puissance_W;couverture;origine
2025-01-01 00:00:00+01:00;3284,000;1,000;MESURE
2025-01-01 01:00:00+01:00;3365,000;1,000;MESURE
2025-01-01 02:00:00+01:00;3353,000;1,000;MESURE
2025-01-01 03:00:00+01:00;3362,000;1,000;MESURE
2025-01-01 04:00:00+01:00;3363,000;1,000;MESURE
2025-01-01 05:00:00+01:00;3398,000;1,000;MESURE
2025-01-01 06:00:00+01:00;3784,000;1,000;MESURE
2025-01-01 07:00:00+01:00;4046,000;1,000;MESURE
2025-01-01 08:00:00+01:00;9,000;1,000;MESURE
2025-01-01 09:00:00+01:00;10,000;1,000;MESURE
2025-01-01 10:00:00+01:00;9,000;1,000;MESURE
2025-01-01 11:00:00+01:00;10,000;1,000;MESURE
2025-01-01 12:00:00+01:00;9,000;1,000;MESURE
2025-01-01 13:00:00+01:00;9,000;1,000;MESURE
2025-01-01 14:00:00+01:00;10,000;1,000;MESURE
2025-01-01 15:00:00+01:00;9,000;1,000;MESURE
2025-01-01 16:00:00+01:00;9,000;1,000;MESURE
2025-01-01 17:00:00+01:00;3091,000;1,000;MESURE
2025-01-01 18:00:00+01:00;4287,000;1,000;MESURE
2025-01-01 19:00:00+01:00;4262,000;1,000;MESURE
2025-01-01 20:00:00+01:00;3830,000;1,000;MESURE
2025-01-01 21:00:00+01:00;3831,000;1,000;MESURE
2025-01-01 22:00:00+01:00;3275,000;1,000;MESURE
2025-01-01 23:00:00+01:00;3249,000;1,000;MESURE
2025-01-02 00:00:00+01:00;3295,000;1,000;MESURE
2025-01-02 01:00:00+01:00;3281,000;1,000;MESURE
2025-01-02 02:00:00+01:00;3298,000;1,000;MESURE
2025-01-02 03:00:00+01:00;3305,000;1,000;MESURE
2025-01-02 04:00:00+01:00;3283,000;1,000;MESURE
2025-01-02 05:00:00+01:00;3322,000;1,000;MESURE
2025-01-02 06:00:00+01:00;3788,000;1,000;MESURE
2025-01-02 07:00:00+01:00;4038,000;1,000;MESURE
2025-01-02 08:00:00+01:00;9,000;1,000;MESURE
2025-01-02 09:00:00+01:00;9,000;1,000;MESURE
2025-01-02 10:00:00+01:00;10,000;1,000;MESURE
2025-01-02 11:00:00+01:00;9,000;1,000;MESURE
2025-01-02 12:00:00+01:00;9,000;1,000;MESURE
2025-01-02 13:00:00+01:00;9,000;1,000;MESURE
2025-01-02 14:00:00+01:00;10,000;1,000;MESURE
2025-01-02 15:00:00+01:00;9,000;1,000;MESURE
2025-01-02 16:00:00+01:00;9,000;1,000;MESURE
2025-01-02 17:00:00+01:00;3030,000;1,000;MESURE
2025-01-02 18:00:00+01:00;4331,000;1,000;MESURE
2025-01-02 19:00:00+01:00;4329,000;1,000;MESURE
2025-01-02 20:00:00+01:00;3822,000;1,000;MESURE
2025-01-02 21:00:00+01:00;3820,000;1,000;MESURE
2025-01-02 22:00:00+01:00;3316,000;1,000;MESURE
2025-01-02 23:00:00+01:00;3299,000;1,000;MESURE
2025-01-03 00:00:00+01:00;3342,000;1,000;MESURE
2025-01-03 01:00:00+01:00;3355,000;1,000;MESURE
2025-01-03 02:00:00+01:00;3344,000;1,000;MESURE
2025-01-03 03:00:00+01:00;3355,000;1,000;MESURE
2025-01-03 04:00:00+01:00;3352,000;1,000;MESURE
2025-01-03 05:00:00+01:00;3377,000;1,000;MESURE
2025-01-03 06:00:00+01:00;3778,000;1,000;MESURE
2025-01-03 07:00:00+01:00;4012,000;1,000;MESURE
2025-01-03 08:00:00+01:00;9,000;1,000;MESURE
2025-01-03 09:00:00+01:00;10,000;1,000;MESURE
2025-01-03 10:00:00+01:00;9,000;1,000;MESURE
2025-01-03 11:00:00+01:00;9,000;1,000;MESURE
2025-01-03 12:00:00+01:00;10,000;1,000;MESURE
2025-01-03 13:00:00+01:00;9,000;1,000;MESURE
2025-01-03 14:00:00+01:00;9,000;1,000;MESURE
2025-01-03 15:00:00+01:00;10,000;1,000;MESURE
2025-01-03 16:00:00+01:00;9,000;1,000;MESURE
2025-01-03 17:00:00+01:00;2984,000;1,000;MESURE
2025-01-03 18:00:00+01:00;4340,000;1,000;MESURE
2025-01-03 19:00:00+01:00;4313,000;1,000;MESURE
2025-01-03 20:00:00+01:00;3820,000;1,000;MESURE
2025-01-03 21:00:00+01:00;3733,000;1,000;MESURE
2025-01-03 22:00:00+01:00;3379,000;1,000;MESURE
2025-01-03 23:00:00+01:00;3361,000;1,000;MESURE
2025-01-04 00:00:00+01:00;3349,000;1,000;MESURE
2025-01-04 01:00:00+01:00;3340,000;1,000;MESURE
2025-01-04 02:00:00+01:00;3312,000;1,000;MESURE
2025-01-04 03:00:00+01:00;3307,000;1,000;MESURE
2025-01-04 04:00:00+01:00;3298,000;1,000;MESURE
2025-01-04 05:00:00+01:00;3324,000;1,000;MESURE
2025-01-04 06:00:00+01:00;3717,000;1,000;MESURE
2025-01-04 07:00:00+01:00;4112,000;1,000;MESURE
2025-01-04 08:00:00+01:00;9,000;1,000;MESURE
2025-01-04 09:00:00+01:00;10,000;1,000;MESURE
2025-01-04 10:00:00+01:00;9,000;1,000;MESURE
2025-01-04 11:00:00+01:00;10,000;1,000;MESURE
2025-01-04 12:00:00+01:00;9,000;1,000;MESURE
2025-01-04 13:00:00+01:00;9,000;1,000;MESURE
2025-01-04 14:00:00+01:00;10,000;1,000;MESURE
2025-01-04 15:00:00+01:00;9,000;1,000;MESURE
2025-01-04 16:00:00+01:00;10,000;1,000;MESURE
2025-01-04 17:00:00+01:00;2928,000;1,000;MESURE
