horodate_locale;puissance_W;couverture;origine
2025-01-01 00:00:00+01:00;137,000;1,000;MESURE
2025-01-01 01:00:00+01:00;138,000;1,000;MESURE
2025-01-01 02:00:00+01:00;138,000;1,000;MESURE
2025-01-01 03:00:00+01:00;138,000;1,000;MESURE
2025-01-01 04:00:00+01:00;137,000;1,000;MESURE
2025-01-01 05:00:00+01:00;137,000;1,000;MESURE
2025-01-01 06:00:00+01:00;145,000;1,000;MESURE
2025-01-01 07:00:00+01:00;157,000;1,000;MESURE
2025-01-01 08:00:00+01:00;158,000;1,000;MESURE
2025-01-01 09:00:00+01:00;8153,000;1,000;MESURE
2025-01-01 10:00:00+01:00;4661,000;1,000;MESURE
2025-01-01 11:00:00+01:00;17064,000;1,000;MESURE
2025-01-01 12:00:00+01:00;17131,000;1,000;MESURE
2025-01-01 13:00:00+01:00;6823,000;1,000;MESURE
2025-01-01 14:00:00+01:00;1279,000;1,000;MESURE
2025-01-01 15:00:00+01:00;10577,000;1,000;MESURE
2025-01-01 16:00:00+01:00;12667,000;1,000;MESURE
2025-01-01 17:00:00+01:00;22058,000;1,000;MESURE
2025-01-01 18:00:00+01:00;16287,000;1,000;MESURE
2025-01-01 19:00:00+01:00;11398,000;1,000;MESURE
2025-01-01 20:00:00+01:00;11393,000;1,000;MESURE
2025-01-01 21:00:00+01:00;11545,000;1,000;MESURE
2025-01-01 22:00:00+01:00;11239,000;1,000;MESURE
2025-01-01 23:00:00+01:00;1064,000;1,000;MESURE
2025-01-02 00:00:00+01:00;100,000;1,000;MESURE
2025-01-02 01:00:00+01:00;99,000;1,000;MESURE
2025-01-02 02:00:00+01:00;126,000;1,000;MESURE
2025-01-02 03:00:00+01:00;106,000;1,000;MESURE
2025-01-02 04:00:00+01:00;99,000;1,000;MESURE
2025-01-02 05:00:00+01:00;113,000;1,000;MESURE
2025-01-02 06:00:00+01:00;128,000;1,000;MESURE
2025-01-02 07:00:00+01:00;121,000;1,000;MESURE
2025-01-02 08:00:00+01:00;120,000;1,000;MESURE
2025-01-02 09:00:00+01:00;121,000;1,000;MESURE
2025-01-02 10:00:00+01:00;121,000;1,000;MESURE
2025-01-02 11:00:00+01:00;123,000;1,000;MESURE
2025-01-02 12:00:00+01:00;121,000;1,000;MESURE
2025-01-02 13:00:00+01:00;111,000;1,000;MESURE
2025-01-02 14:00:00+01:00;101,000;1,000;MESURE
2025-01-02 15:00:00+01:00;11961,000;1,000;MESURE
2025-01-02 16:00:00+01:00;23531,000;1,000;MESURE
2025-01-02 17:00:00+01:00;28949,000;1,000;MESURE
2025-01-02 18:00:00+01:00;12058,000;1,000;MESURE
2025-01-02 19:00:00+01:00;10948,000;1,000;MESURE
2025-01-02 20:00:00+01:00;1813,000;1,000;MESURE
2025-01-02 21:00:00+01:00;104,000;1,000;MESURE
2025-01-02 22:00:00+01:00;104,000;1,000;MESURE
2025-01-02 23:00:00+01:00;3829,000;1,000;MESURE
2025-01-03 00:00:00+01:00;7213,000;1,000;MESURE
2025-01-03 01:00:00+01:00;7229,000;1,000;MESURE
2025-01-03 02:00:00+01:00;7188,000;1,000;MESURE
2025-01-03 03:00:00+01:00;7235,000;1,000;MESURE
2025-01-03 04:00:00+01:00;7226,000;1,000;MESURE
2025-01-03 05:00:00+01:00;4224,000;1,000;MESURE
2025-01-03 06:00:00+01:00;1191,000;1,000;MESURE
2025-01-03 07:00:00+01:00;147,000;1,000;MESURE
2025-01-03 08:00:00+01:00;4069,000;1,000;MESURE
2025-01-03 09:00:00+01:00;7621,000;1,000;MESURE
