horodate_locale;puissance_W;couverture;origine
2025-01-01 00:00:00+01:00;3587,000;1,000;MESURE
2025-01-01 01:00:00+01:00;3587,000;1,000;MESURE
2025-01-01 02:00:00+01:00;3582,000;1,000;MESURE
2025-01-01 03:00:00+01:00;3588,000;1,000;MESURE
2025-01-01 04:00:00+01:00;3593,000;1,000;MESURE
2025-01-01 05:00:00+01:00;9152,000;1,000;MESURE
2025-01-01 06:00:00+01:00;9176,000;1,000;MESURE
2025-01-01 07:00:00+01:00;9033,000;1,000;MESURE
2025-01-01 08:00:00+01:00;0,000;1,000;MESURE
2025-01-01 09:00:00+01:00;0,000;1,000;MESURE
2025-01-01 10:00:00+01:00;0,000;1,000;MESURE
2025-01-01 11:00:00+01:00;0,000;1,000;MESURE
2025-01-01 12:00:00+01:00;0,000;1,000;MESURE
2025-01-01 13:00:00+01:00;0,000;1,000;MESURE
2025-01-01 14:00:00+01:00;0,000;1,000;MESURE
2025-01-01 15:00:00+01:00;0,000;1,000;MESURE
2025-01-01 16:00:00+01:00;0,000;1,000;MESURE
2025-01-01 17:00:00+01:00;6242,000;1,000;MESURE
2025-01-01 18:00:00+01:00;9128,000;1,000;MESURE
2025-01-01 19:00:00+01:00;9106,000;1,000;MESURE
2025-01-01 20:00:00+01:00;9111,000;1,000;MESURE
2025-01-01 21:00:00+01:00;9115,000;1,000;MESURE
2025-01-01 22:00:00+01:00;3786,000;1,000;MESURE
2025-01-01 23:00:00+01:00;3576,000;1,000;MESURE
2025-01-02 00:00:00+01:00;3218,000;1,000;MESURE
2025-01-02 01:00:00+01:00;3214,000;1,000;MESURE
2025-01-02 02:00:00+01:00;3223,000;1,000;MESURE
2025-01-02 03:00:00+01:00;3225,000;1,000;MESURE
2025-01-02 04:00:00+01:00;3217,000;1,000;MESURE
2025-01-02 05:00:00+01:00;8774,000;1,000;MESURE
2025-01-02 06:00:00+01:00;9145,000;1,000;MESURE
2025-01-02 07:00:00+01:00;9014,000;1,000;MESURE
2025-01-02 08:00:00+01:00;0,000;1,000;MESURE
2025-01-02 09:00:00+01:00;0,000;1,000;MESURE
2025-01-02 10:00:00+01:00;0,000;1,000;MESURE
2025-01-02 11:00:00+01:00;0,000;1,000;MESURE
2025-01-02 12:00:00+01:00;0,000;1,000;MESURE
2025-01-02 13:00:00+01:00;0,000;1,000;MESURE
2025-01-02 14:00:00+01:00;0,000;1,000;MESURE
2025-01-02 15:00:00+01:00;0,000;1,000;MESURE
2025-01-02 16:00:00+01:00;0,000;1,000;MESURE
2025-01-02 17:00:00+01:00;6083,000;1,000;MESURE
2025-01-02 18:00:00+01:00;9165,000;1,000;MESURE
2025-01-02 19:00:00+01:00;9149,000;1,000;MESURE
2025-01-02 20:00:00+01:00;9151,000;1,000;MESURE
2025-01-02 21:00:00+01:00;9143,000;1,000;MESURE
2025-01-02 22:00:00+01:00;3789,000;1,000;MESURE
2025-01-02 23:00:00+01:00;3583,000;1,000;MESURE
2025-01-03 00:00:00+01:00;3221,000;1,000;MESURE
2025-01-03 01:00:00+01:00;3224,000;1,000;MESURE
2025-01-03 02:00:00+01:00;3216,000;1,000;MESURE
2025-01-03 03:00:00+01:00;3226,000;1,000;MESURE
2025-01-03 04:00:00+01:00;3225,000;1,000;MESURE
2025-01-03 05:00:00+01:00;8768,000;1,000;MESURE
2025-01-03 06:00:00+01:00;9129,000;1,000;MESURE
2025-01-03 07:00:00+01:00;8976,000;1,000;MESURE
2025-01-03 08:00:00+01:00;0,000;1,000;MESURE
2025-01-03 09:00:00+01:00;0,000;1,000;MESURE
2025-01-03 10:00:00+01:00;0,000;1,000;MESURE
2025-01-03 11:00:00+01:00;0,000;1,000;MESURE
2025-01-03 12:00:00+01:00;0,000;1,000;MESURE
2025-01-03 13:00:00+01:00;0,000;1,000;MESURE
2025-01-03 14:00:00+01:00;0,000;1,000;MESURE
2025-01-03 15:00:00+01:00;0,000;1,000;MESURE
2025-01-03 16:00:00+01:00;0,000;1,000;MESURE
2025-01-03 17:00:00+01:00;5971,000;1,000;MESURE
2025-01-03 18:00:00+01:00;9150,000;1,000;MESURE
2025-01-03 19:00:00+01:00;9133,000;1,000;MESURE
2025-01-03 20:00:00+01:00;9141,000;1,000;MESURE
2025-01-03 21:00:00+01:00;9147,000;1,000;MESURE
2025-01-03 22:00:00+01:00;3834,000;1,000;MESURE
2025-01-03 23:00:00+01:00;3635,000;1,000;MESURE
2025-01-04 00:00:00+01:00;3254,000;1,000;MESURE
2025-01-04 01:00:00+01:00;3244,000;1,000;MESURE
2025-01-04 02:00:00+01:00;3240,000;1,000;MESURE
2025-01-04 03:00:00+01:00;3237,000;1,000;MESURE
2025-01-04 04:00:00+01:00;3231,000;1,000;MESURE
2025-01-04 05:00:00+01:00;8790,000;1,000;MESURE
2025-01-04 06:00:00+01:00;9136,000;1,000;MESURE
2025-01-04 07:00:00+01:00;8988,000;1,000;MESURE
2025-01-04 08:00:00+01:00;0,000;1,000;MESURE
2025-01-04 09:00:00+01:00;0,000;1,000;MESURE
2025-01-04 10:00:00+01:00;0,000;1,000;MESURE
2025-01-04 11:00:00+01:00;0,000;1,000;MESURE
2025-01-04 12:00:00+01:00;0,000;1,000;MESURE
2025-01-04 13:00:00+01:00;0,000;1,000;MESURE
2025-01-04 14:00:00+01:00;0,000;1,000;MESURE
2025-01-04 15:00:00+01:00;0,000;1,000;MESURE
2025-01-04 16:00:00+01:00;0,000;1,000;MESURE
2025-01-04 17:00:00+01:00;5815,000;1,000;MESURE
2025-01-04 18:00:00+01:00;9164,000;1,000;MESURE
2025-01-04 19:00:00+01:00;9153,000;1,000;MESURE
2025-01-04 20:00:00+01:00;9146,000;1,000;MESURE
2025-01-04 21:00:00+01:00;9151,000;1,000;MESURE
2025-01-04 22:00:00+01:00;3831,000;1,000;MESURE
2025-01-04 23:00:00+01:00;3647,000;1,000;MESURE
2025-01-05 00:00:00+01:00;3306,000;1,000;MESURE
2025-01-05 01:00:00+01:00;3311,000;1,000;MESURE
2025-01-05 02:00:00+01:00;3309,000;1,000;MESURE
2025-01-05 03:00:00+01:00;3315,000;1,000;MESURE
2025-01-05 04:00:00+01:00;3322,000;1,000;MESURE
2025-01-05 05:00:00+01:00;8775,000;1,000;MESURE
2025-01-05 06:00:00+01:00;9148,000;1,000;MESURE
2025-01-05 07:00:00+01:00;9009,000;1,000;MESURE
2025-01-05 08:00:00+01:00;0,000;1,000;MESURE
2025-01-05 09:00:00+01:00;0,000;1,000;MESURE
2025-01-05 10:00:00+01:00;0,000;1,000;MESURE
2025-01-05 11:00:00+01:00;0,000;1,000;MESURE
2025-01-05 12:00:00+01:00;0,000;1,000;MESURE
2025-01-05 13:00:00+01:00;0,000;1,000;MESURE
2025-01-05 14:00:00+01:00;0,000;1,000;MESURE
2025-01-05 15:00:00+01:00;0,000;1,000;MESURE
2025-01-05 16:00:00+01:00;0,000;1,000;MESURE
2025-01-05 17:00:00+01:00;5609,000;1,000;MESURE
2025-01-05 18:00:00+01:00;9125,000;1,000;MESURE
2025-01-05 19:00:00+01:00;9103,000;1,000;MESURE
2025-01-05 20:00:00+01:00;9101,000;1,000;MESURE
2025-01-05 21:00:00+01:00;9099,000;1,000;MESURE
2025-01-05 22:00:00+01:00;3783,000;1,000;MESURE
2025-01-05 23:00:00+01:00;3572,000;1,000;MESURE
2025-01-06 00:00:00+01:00;3197,000;1,000;MESURE
2025-01-06 01:00:00+01:00;3191,000;1,000;MESURE
2025-01-06 02:00:00+01:00;3190,000;1,000;MESURE
2025-01-06 03:00:00+01:00;3198,000;1,000;MESURE
2025-01-06 04:00:00+01:00;3193,000;1,000;MESURE
2025-01-06 05:00:00+01:00;8723,000;1,000;MESURE
2025-01-06 06:00:00+01:00;9093,000;1,000;MESURE
2025-01-06 07:00:00+01:00;8957,000;1,000;MESURE
2025-01-06 08:00:00+01:00;0,000;1,000;MESURE
2025-01-06 09:00:00+01:00;0,000;1,000;MESURE
2025-01-06 10:00:00+01:00;0,000;1,000;MESURE
2025-01-06 11:00:00+01:00;0,000;1,000;MESURE
2025-01-06 12:00:00+01:00;0,000;1,000;MESURE
2025-01-06 13:00:00+01:00;0,000;1,000;MESURE
2025-01-06 14:00:00+01:00;0,000;1,000;MESURE
2025-01-06 15:00:00+01:00;0,000;1,000;MESURE
2025-01-06 16:00:00+01:00;0,000;1,000;MESURE
2025-01-06 17:00:00+01:00;5476,000;1,000;MESURE
2025-01-06 18:00:00+01:00;9153,000;1,000;MESURE
2025-01-06 19:00:00+01:00;9149,000;1,000;MESURE
2025-01-06 20:00:00+01:00;9129,000;1,000;MESURE
2025-01-06 21:00:00+01:00;9126,000;1,000;MESURE
2025-01-06 22:00:00+01:00;3792,000;1,000;MESURE
2025-01-06 23:00:00+01:00;3587,000;1,000;MESURE
2025-01-07 00:00:00+01:00;3215,000;1,000;MESURE
2025-01-07 01:00:00+01:00;3240,000;1,000;MESURE
2025-01-07 02:00:00+01:00;3221,000;1,000;MESURE
2025-01-07 03:00:00+01:00;3228,000;1,000;MESURE
2025-01-07 04:00:00+01:00;3234,000;1,000;MESURE
2025-01-07 05:00:00+01:00;8767,000;1,000;MESURE
2025-01-07 06:00:00+01:00;9140,000;1,000;MESURE
2025-01-07 07:00:00+01:00;8974,000;1,000;MESURE
2025-01-07 08:00:00+01:00;0,000;1,000;MESURE
2025-01-07 09:00:00+01:00;0,000;1,000;MESURE
2025-01-07 10:00:00+01:00;0,000;1,000;MESURE
2025-01-07 11:00:00+01:00;0,000;1,000;MESURE
2025-01-07 12:00:00+01:00;0,000;1,000;MESURE
2025-01-07 13:00:00+01:00;2507,000;1,000;MESURE
2025-01-07 14:00:00+01:00;2203,000;1,000;MESURE
2025-01-07 15:00:00+01:00;0,000;1,000;MESURE
2025-01-07 16:00:00+01:00;0,000;1,000;MESURE
2025-01-07 17:00:00+01:00;5338,000;1,000;MESURE
2025-01-07 18:00:00+01:00;9132,000;1,000;MESURE
2025-01-07 19:00:00+01:00;9112,000;1,000;MESURE
2025-01-07 20:00:00+01:00;9121,000;1,000;MESURE
2025-01-07 21:00:00+01:00;9126,000;1,000;MESURE
2025-01-07 22:00:00+01:00;3806,000;1,000;MESURE
2025-01-07 23:00:00+01:00;3603,000;1,000;MESURE
2025-01-08 00:00:00+01:00;3219,000;1,000;MESURE
2025-01-08 01:00:00+01:00;3214,000;1,000;MESURE
2025-01-08 02:00:00+01:00;3212,000;1,000;MESURE
2025-01-08 03:00:00+01:00;3217,000;1,000;MESURE
2025-01-08 04:00:00+01:00;3218,000;1,000;MESURE
2025-01-08 05:00:00+01:00;8779,000;1,000;MESURE
2025-01-08 06:00:00+01:00;9146,000;1,000;MESURE
2025-01-08 07:00:00+01:00;9027,000;1,000;MESURE
2025-01-08 08:00:00+01:00;0,000;1,000;MESURE
2025-01-08 09:00:00+01:00;0,000;1,000;MESURE
2025-01-08 10:00:00+01:00;0,000;1,000;MESURE
2025-01-08 11:00:00+01:00;0,000;1,000;MESURE
2025-01-08 12:00:00+01:00;0,000;1,000;MESURE
2025-01-08 13:00:00+01:00;0,000;1,000;MESURE
2025-01-08 14:00:00+01:00;0,000;1,000;MESURE
2025-01-08 15:00:00+01:00;0,000;1,000;MESURE
2025-01-08 16:00:00+01:00;0,000;1,000;MESURE
2025-01-08 17:00:00+01:00;5171,000;1,000;MESURE
