horodate_locale;puissance_W;couverture;origine
2025-01-01 00:00:00+01:00;4672,000;1,000;MESURE
2025-01-01 01:00:00+01:00;4776,000;1,000;MESURE
2025-01-01 02:00:00+01:00;4751,000;1,000;MESURE
2025-01-01 03:00:00+01:00;4768,000;1,000;MESURE
2025-01-01 04:00:00+01:00;4769,000;1,000;MESURE
2025-01-01 05:00:00+01:00;5223,000;1,000;MESURE
2025-01-01 06:00:00+01:00;5207,000;1,000;MESURE
2025-01-01 07:00:00+01:00;5147,000;1,000;MESURE
2025-01-01 08:00:00+01:00;0,000;1,000;MESURE
2025-01-01 09:00:00+01:00;0,000;1,000;MESURE
2025-01-01 10:00:00+01:00;0,000;1,000;MESURE
2025-01-01 11:00:00+01:00;0,000;1,000;MESURE
2025-01-01 12:00:00+01:00;0,000;1,000;MESURE
2025-01-01 13:00:00+01:00;0,000;1,000;MESURE
2025-01-01 14:00:00+01:00;0,000;1,000;MESURE
2025-01-01 15:00:00+01:00;4694,000;1,000;MESURE
2025-01-01 16:00:00+01:00;5093,000;1,000;MESURE
2025-01-01 17:00:00+01:00;5099,000;1,000;MESURE
2025-01-01 18:00:00+01:00;5110,000;1,000;MESURE
2025-01-01 19:00:00+01:00;5155,000;1,000;MESURE
2025-01-01 20:00:00+01:00;4959,000;1,000;MESURE
2025-01-01 21:00:00+01:00;4699,000;1,000;MESURE
2025-01-01 22:00:00+01:00;4639,000;0,500;INTERP_COURTE
2025-01-01 23:00:00+01:00;4579,000;0,000;INTERP_COURTE
2025-01-02 00:00:00+01:00;4519,000;1,000;MESURE
2025-01-02 01:00:00+01:00;4494,000;1,000;MESURE
2025-01-02 02:00:00+01:00;4520,000;1,000;MESURE
2025-01-02 03:00:00+01:00;4535,000;1,000;MESURE
2025-01-02 04:00:00+01:00;4511,000;1,000;MESURE
2025-01-02 05:00:00+01:00;4961,000;1,000;MESURE
2025-01-02 06:00:00+01:00;5214,000;1,000;MESURE
2025-01-02 07:00:00+01:00;5169,000;1,000;MESURE
2025-01-02 08:00:00+01:00;0,000;1,000;MESURE
2025-01-02 09:00:00+01:00;0,000;1,000;MESURE
2025-01-02 10:00:00+01:00;0,000;1,000;MESURE
2025-01-02 11:00:00+01:00;0,000;1,000;MESURE
2025-01-02 12:00:00+01:00;0,000;1,000;MESURE
2025-01-02 13:00:00+01:00;0,000;1,000;MESURE
2025-01-02 14:00:00+01:00;0,000;1,000;MESURE
2025-01-02 15:00:00+01:00;0,000;1,000;MESURE
2025-01-02 16:00:00+01:00;2065,000;1,000;MESURE
2025-01-02 17:00:00+01:00;5059,000;1,000;MESURE
2025-01-02 18:00:00+01:00;5068,000;1,000;MESURE
2025-01-02 19:00:00+01:00;5100,000;1,000;MESURE
2025-01-02 20:00:00+01:00;5165,000;1,000;MESURE
2025-01-02 21:00:00+01:00;5247,000;1,000;MESURE
2025-01-02 22:00:00+01:00;4824,000;1,000;MESURE
2025-01-02 23:00:00+01:00;4790,000;1,000;MESURE
2025-01-03 00:00:00+01:00;4630,000;1,000;MESURE
2025-01-03 01:00:00+01:00;4660,000;1,000;MESURE
2025-01-03 02:00:00+01:00;4637,000;1,000;MESURE
2025-01-03 03:00:00+01:00;4673,000;1,000;MESURE
2025-01-03 04:00:00+01:00;4675,000;1,000;MESURE
2025-01-03 05:00:00+01:00;5115,000;1,000;MESURE
2025-01-03 06:00:00+01:00;5313,000;1,000;MESURE
2025-01-03 07:00:00+01:00;5199,000;1,000;MESURE
2025-01-03 08:00:00+01:00;0,000;1,000;MESURE
2025-01-03 09:00:00+01:00;0,000;1,000;MESURE
