horodate_locale;puissance_W;couverture;origine
2025-01-01 00:00:00+01:00;3028,000;1,000;MESURE
2025-01-01 01:00:00+01:00;3062,000;1,000;MESURE
2025-01-01 02:00:00+01:00;3065,000;1,000;MESURE
2025-01-01 03:00:00+01:00;3076,000;1,000;MESURE
2025-01-01 04:00:00+01:00;3078,000;1,000;MESURE
2025-01-01 05:00:00+01:00;5371,000;1,000;MESURE
2025-01-01 06:00:00+01:00;5565,000;1,000;MESURE
2025-01-01 07:00:00+01:00;5662,000;1,000;MESURE
2025-01-01 08:00:00+01:00;131,000;1,000;MESURE
2025-01-01 09:00:00+01:00;129,000;1,000;MESURE
2025-01-01 10:00:00+01:00;128,000;1,000;MESURE
2025-01-01 11:00:00+01:00;127,000;1,000;MESURE
2025-01-01 12:00:00+01:00;127,000;1,000;MESURE
2025-01-01 13:00:00+01:00;126,000;1,000;MESURE
2025-01-01 14:00:00+01:00;127,000;1,000;MESURE
2025-01-01 15:00:00+01:00;127,000;1,000;MESURE
2025-01-01 16:00:00+01:00;125,000;1,000;MESURE
2025-01-01 17:00:00+01:00;3927,000;1,000;MESURE
2025-01-01 18:00:00+01:00;5715,000;1,000;MESURE
2025-01-01 19:00:00+01:00;5704,000;1,000;MESURE
2025-01-01 20:00:00+01:00;5560,000;1,000;MESURE
2025-01-01 21:00:00+01:00;5547,000;1,000;MESURE
2025-01-01 22:00:00+01:00;3697,000;1,000;MESURE
2025-01-01 23:00:00+01:00;3216,000;1,000;MESURE
2025-01-02 00:00:00+01:00;3049,000;1,000;MESURE
2025-01-02 01:00:00+01:00;3045,000;1,000;MESURE
2025-01-02 02:00:00+01:00;3046,000;1,000;MESURE
2025-01-02 03:00:00+01:00;3055,000;1,000;MESURE
2025-01-02 04:00:00+01:00;3048,000;1,000;MESURE
2025-01-02 05:00:00+01:00;5329,000;1,000;MESURE
2025-01-02 06:00:00+01:00;5533,000;1,000;MESURE
2025-01-02 07:00:00+01:00;5620,000;1,000;MESURE
2025-01-02 08:00:00+01:00;129,000;1,000;MESURE
2025-01-02 09:00:00+01:00;125,000;1,000;MESURE
2025-01-02 10:00:00+01:00;125,000;1,000;MESURE
2025-01-02 11:00:00+01:00;125,000;1,000;MESURE
2025-01-02 12:00:00+01:00;125,000;1,000;MESURE
2025-01-02 13:00:00+01:00;124,000;1,000;MESURE
2025-01-02 14:00:00+01:00;124,000;1,000;MESURE
2025-01-02 15:00:00+01:00;124,000;1,000;MESURE
2025-01-02 16:00:00+01:00;127,000;1,000;MESURE
2025-01-02 17:00:00+01:00;3827,000;1,000;MESURE
2025-01-02 18:00:00+01:00;5707,000;1,000;MESURE
2025-01-02 19:00:00+01:00;5700,000;1,000;MESURE
2025-01-02 20:00:00+01:00;5587,000;1,000;MESURE
2025-01-02 21:00:00+01:00;5541,000;1,000;MESURE
2025-01-02 22:00:00+01:00;3718,000;1,000;MESURE
2025-01-02 23:00:00+01:00;3244,000;1,000;MESURE
2025-01-03 00:00:00+01:00;3057,000;1,000;MESURE
2025-01-03 01:00:00+01:00;3055,000;1,000;MESURE
2025-01-03 02:00:00+01:00;3050,000;1,000;MESURE
2025-01-03 03:00:00+01:00;3046,000;1,000;MESURE
2025-01-03 04:00:00+01:00;3051,000;1,000;MESURE
2025-01-03 05:00:00+01:00;5321,000;1,000;MESURE
2025-01-03 06:00:00+01:00;5561,000;1,000;MESURE
2025-01-03 07:00:00+01:00;5629,000;1,000;MESURE
2025-01-03 08:00:00+01:00;126,000;1,000;MESURE
2025-01-03 09:00:00+01:00;125,000;1,000;MESURE
2025-01-03 10:00:00+01:00;125,000;1,000;MESURE
2025-01-03 11:00:00+01:00;125,000;1,000;MESURE
2025-01-03 12:00:00+01:00;126,000;1,000;MESURE
2025-01-03 13:00:00+01:00;125,000;1,000;MESURE
2025-01-03 14:00:00+01:00;126,000;1,000;MESURE
2025-01-03 15:00:00+01:00;126,000;1,000;MESURE
2025-01-03 16:00:00+01:00;125,000;1,000;MESURE
2025-01-03 17:00:00+01:00;3774,000;1,000;MESURE
2025-01-03 18:00:00+01:00;5747,000;1,000;MESURE
2025-01-03 19:00:00+01:00;5728,000;1,000;MESURE
2025-01-03 20:00:00+01:00;5596,000;1,000;MESURE
2025-01-03 21:00:00+01:00;5556,000;1,000;MESURE
2025-01-03 22:00:00+01:00;3717,000;1,000;MESURE
2025-01-03 23:00:00+01:00;3246,000;1,000;MESURE
2025-01-04 00:00:00+01:00;3079,000;1,000;MESURE
2025-01-04 01:00:00+01:00;3081,000;1,000;MESURE
2025-01-04 02:00:00+01:00;3056,000;1,000;MESURE
2025-01-04 03:00:00+01:00;3054,000;1,000;MESURE
2025-01-04 04:00:00+01:00;3051,000;1,000;MESURE
2025-01-04 05:00:00+01:00;5330,000;1,000;MESURE
2025-01-04 06:00:00+01:00;5551,000;1,000;MESURE
2025-01-04 07:00:00+01:00;5683,000;1,000;MESURE
2025-01-04 08:00:00+01:00;133,000;1,000;MESURE
2025-01-04 09:00:00+01:00;131,000;1,000;MESURE
2025-01-04 10:00:00+01:00;130,000;1,000;MESURE
2025-01-04 11:00:00+01:00;130,000;1,000;MESURE
2025-01-04 12:00:00+01:00;129,000;1,000;MESURE
2025-01-04 13:00:00+01:00;130,000;1,000;MESURE
2025-01-04 14:00:00+01:00;129,000;1,000;MESURE
2025-01-04 15:00:00+01:00;130,000;1,000;MESURE
2025-01-04 16:00:00+01:00;130,000;1,000;MESURE
2025-01-04 17:00:00+01:00;3650,000;1,000;MESURE
2025-01-04 18:00:00+01:00;5709,000;1,000;MESURE
2025-01-04 19:00:00+01:00;5704,000;1,000;MESURE
2025-01-04 20:00:00+01:00;5590,000;1,000;MESURE
2025-01-04 21:00:00+01:00;5545,000;1,000;MESURE
2025-01-04 22:00:00+01:00;3694,000;1,000;MESURE
2025-01-04 23:00:00+01:00;3226,000;1,000;MESURE
2025-01-05 00:00:00+01:00;3052,000;1,000;MESURE
