Identifiant PRM;Date de début;Date de fin;Grandeur physique;Grandeur métier;Etape métier;Unité;Horodate;Valeur;Nature;Pas;Indice de vraisemblance;Etat complémentaire
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 00:30:00;1500;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 01:00:00;980;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 01:30:00;1150;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 02:00:00;1080;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 02:30:00;2490;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 03:00:00;1052;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 03:30:00;1062;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 04:00:00;1150;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 04:30:00;1070;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 05:00:00;1156;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 05:30:00;1010;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 06:00:00;1072;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 06:30:00;1196;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 07:00:00;1052;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 07:30:00;1228;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 08:00:00;1638;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 08:30:00;1518;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 09:00:00;1552;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 09:30:00;1492;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 10:00:00;1678;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 10:30:00;1528;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 11:00:00;1546;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 11:30:00;1622;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 12:00:00;1460;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 12:30:00;1630;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 13:00:00;1534;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 13:30:00;1550;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 14:00:00;1540;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 14:30:00;1626;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 15:00:00;1530;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 15:30:00;1724;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 16:00:00;2634;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 16:30:00;1638;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 17:00:00;1434;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 17:30:00;1590;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 18:00:00;1526;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 18:30:00;1568;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 19:00:00;1524;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 19:30:00;1500;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 20:00:00;1694;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 20:30:00;1496;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 21:00:00;1488;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 21:30:00;1534;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 22:00:00;1618;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 22:30:00;1452;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 23:00:00;1548;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-23 23:30:00;1538;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 00:00:00;1572;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 00:30:00;1266;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 01:00:00;1168;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 01:30:00;1072;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 02:00:00;1100;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 02:30:00;1138;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 03:00:00;1052;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 03:30:00;1090;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 04:00:00;1090;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 04:30:00;1094;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 05:00:00;2134;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 05:30:00;1394;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 06:00:00;1056;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 06:30:00;1154;B;PT30M;0;0
19905643910746;2024-06-23 00:00:00;2026-06-23 00:00:00;PA;CONS;BRUT;W;2024-06-24 07:00:00;964;B;PT30M;0;0
